,Name,Office,Filing Year,Filing,Report URL
0,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024277.pdf
1,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024458.pdf
2,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025031.pdf
3,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025287.pdf
4,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025411.pdf
5,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025601.pdf
6,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025875.pdf
7,"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026031.pdf
8,"Auchincloss, Hon.. Jake",MA04,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025708.pdf
9,"Banks, Hon.. James E Hon",IN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025626.pdf
